2019-07-01 15:06:51 startup packages configure
2019-07-01 15:06:51 configure libgcrypt20:amd64 1.6.5-2ubuntu0.5 <none>
2019-07-01 15:06:51 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-07-01 15:06:51 status unpacked libgcrypt20:amd64 1.6.5-2ubuntu0.5
2019-07-01 15:06:51 status half-configured libgcrypt20:amd64 1.6.5-2ubuntu0.5
2019-07-01 15:06:51 status installed libgcrypt20:amd64 1.6.5-2ubuntu0.5
2019-07-01 15:06:51 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-07-01 15:06:51 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-07-01 15:06:51 status installed libc-bin:amd64 2.23-0ubuntu10
2019-07-01 15:06:52 startup archives unpack
2019-07-01 15:06:54 install libapr1:amd64 <none> 1.5.2-3
2019-07-01 15:06:54 status half-installed libapr1:amd64 1.5.2-3
2019-07-01 15:06:54 status unpacked libapr1:amd64 1.5.2-3
2019-07-01 15:06:54 status unpacked libapr1:amd64 1.5.2-3
2019-07-01 15:06:55 install libaprutil1:amd64 <none> 1.5.4-1build1
2019-07-01 15:06:55 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-07-01 15:06:55 status half-installed libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:06:55 status unpacked libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:06:55 status unpacked libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:06:55 install libaprutil1-dbd-sqlite3:amd64 <none> 1.5.4-1build1
2019-07-01 15:06:55 status half-installed libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:06:55 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:06:55 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:06:56 install libaprutil1-ldap:amd64 <none> 1.5.4-1build1
2019-07-01 15:06:56 status half-installed libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:06:56 status unpacked libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:06:56 status unpacked libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:06:56 install liblua5.1-0:amd64 <none> 5.1.5-8ubuntu1
